From	To
Q9Y4K4	MAP4K5
P46109	CRKL
P46108	CRK
P54253	ATXN1
P21127	CDK11B
P30305	CDC25B
P35213	Ywhab
Q9JLT6	Bid
Q01113	IL9R
P04150	NR3C1
P08575	PTPRC
P06240	Lck
P80667	PEX13
Q04370	PEX12
P35056	PEX5
Q05568	PEX10
P40155	PEX17
P39718	PEX22
P09874	PARP1
O43172	PRPF4
Q64288	Omp
Q9WTZ8	Bex2
P19490	Gria1
P17612	PRKACA
Q9QXK9	Sh2d2a
Q64697	Ptprcap
P48058	GRIA4
Q9VF87	Sra-1
Q62925	Map3k1
Q16584	MAP3K11
Q12851	MAP4K2
Q6P6S3	Bspry
Q05021	TAF7
P46677	TAF1
P23255	TAF2
P38129	TAF5
Q03750	TAF8
P50105	TAF4
Q12030	TAF10
Q04226	TAF11
Q03761	TAF12
P11747	TAF13
Q51451	exoS
P68511	Ywhah
Q9JIS1	Rims2
Q9JIR4	Rims1
P27448	MARK3
Q99959	PKP2
P32494	NGG1
P38811	TRA1
Q02336	ADA2
Q03898	FIN1
Q15075	EEA1
Q9UL26	RAB22A
P20339	RAB5A
P97433	Arhgef28
P53040	TAF6
P35189	TAF14
Q05027	TAF9
P32333	MOT1
P29056	BRF1
Q9Y5V3	MAGED1
O00635	TRIM38
Q8JHG4	taf7
Q9GUX5	Vg
Q7ZTG7	VtgR
P11473	VDR
P41235	HNF4A
Q12772	SREBF2
Q9UHF7	TRPS1
Q925H1	Trps1
P28799	GRN
P98160	HSPG2
Q9DED4	cirbp-b
Q9ESD7	Dysf
Q8WY64	MYLIP
Q8K400	Stxbp5
O75004	cdc24
P51003	PAPOLA
P06788	E7
P16471	PRLR
Q08501	Prlr
P29311	BMH1
P13393	SPT15
P25632	RSC6
Q12406	ARP7
Q05123	ARP9
P32597	STH1
P32591	SWI3
Q06488	RSC2
P11632	NHP6A
Q04206	RELA
O75676	RPS6KA4
Q06639	RSC3
P53236	RSC1
Q9URQ5	HTL1
Q13541	EIF4EBP1
P14599	Appl
Q9VX41	X11L
Q9W0K0	Aplip1
P92208	bsk
P46824	Klc
Q23977	hep
Q9WV19	Cyp2g1
P53115	INO80
O88746	Tom1
P0CG47	UBB
Q9H0E2	TOLLIP
Q03940	RVB1
Q9W0G1	Ptp61F
Q24218	dock
P22082	SNF2
